2026-04-24T11:24:11.194020	DEBUG	todoapp/main.go:34	initializing postgres connection pool
2026-04-24T11:28:20.236713	DEBUG	middleware/common.go:87	<<< done HTTP request	{"request_id": "0300daed-90aa-4b84-b916-e6d5ca45c906", "url": "/api/v1/users?limit=2&offset=1", "status_code": 200, "latency": "1.505163ms"}
2026-04-24T11:28:28.610692	DEBUG	middleware/common.go:80	>>> incoming HTTP request	{"request_id": "0cb83957-20f2-4b38-bc2a-40fa763bec1c", "url": "/api/v1/users?limit=2&offset=2", "time": "2026-04-24T08:28:28.610689"}
2026-04-24T11:28:28.611954	DEBUG	middleware/common.go:87	<<< done HTTP request	{"request_id": "0cb83957-20f2-4b38-bc2a-40fa763bec1c", "url": "/api/v1/users?limit=2&offset=2", "status_code": 200, "latency": "1.262926ms"}
2026-04-24T11:28:38.237802	DEBUG	middleware/common.go:80	>>> incoming HTTP request	{"request_id": "faaee497-cfb4-41d9-b08a-d876edf78d7e", "url": "/api/v1/users?limit=2&offset=4", "time": "2026-04-24T08:28:38.237799"}
2026-04-24T11:28:38.239339	DEBUG	middleware/common.go:87	<<< done HTTP request	{"request_id": "faaee497-cfb4-41d9-b08a-d876edf78d7e", "url": "/api/v1/users?limit=2&offset=4", "status_code": 200, "latency": "1.537496ms"}
2026-04-24T11:28:56.365020	DEBUG	middleware/common.go:80	>>> incoming HTTP request	{"request_id": "2f2ae44f-6705-42b5-b0c9-4dc415a5bb4b", "url": "/api/v1/users?limit=-10&offset=4", "time": "2026-04-24T08:28:56.365017"}
2026-04-24T11:28:56.365274	WARN	response/handler.go:64	failed to get users	{"request_id": "2f2ae44f-6705-42b5-b0c9-4dc415a5bb4b", "url": "/api/v1/users?limit=-10&offset=4", "error": "limit must be non-negative: invalid argument"}
2026-04-24T11:28:56.365354	DEBUG	middleware/common.go:87	<<< done HTTP request	{"request_id": "2f2ae44f-6705-42b5-b0c9-4dc415a5bb4b", "url": "/api/v1/users?limit=-10&offset=4", "status_code": 400, "latency": "336.904µs"}
2026-04-24T11:29:06.028246	DEBUG	middleware/common.go:80	>>> incoming HTTP request	{"request_id": "0c1ac26f-5a8a-4f00-89f4-864806674e32", "url": "/api/v1/users?limit=fsa0&offset=4", "time": "2026-04-24T08:29:06.028242"}
2026-04-24T11:29:06.028458	WARN	response/handler.go:64	failed to get 'limit'/'offset' query param	{"request_id": "0c1ac26f-5a8a-4f00-89f4-864806674e32", "url": "/api/v1/users?limit=fsa0&offset=4", "error": "get 'limit' query param: param='fsa0' by key='limit' not a valid integer: strconv.Atoi: parsing \"fsa0\": invalid syntax: invalid argument"}
2026-04-24T11:29:06.028539	DEBUG	middleware/common.go:87	<<< done HTTP request	{"request_id": "0c1ac26f-5a8a-4f00-89f4-864806674e32", "url": "/api/v1/users?limit=fsa0&offset=4", "status_code": 400, "latency": "296.309µs"}
2026-04-24T11:29:32.711873	DEBUG	middleware/common.go:80	>>> incoming HTTP request	{"request_id": "e9932618-3175-42aa-ad0e-e2120f8cc7b1", "url": "/api/v1/users", "time": "2026-04-24T08:29:32.711869"}
2026-04-24T11:29:32.713680	DEBUG	middleware/common.go:87	<<< done HTTP request	{"request_id": "e9932618-3175-42aa-ad0e-e2120f8cc7b1", "url": "/api/v1/users", "status_code": 200, "latency": "1.806902ms"}
2026-04-24T11:30:14.367875	DEBUG	middleware/common.go:80	>>> incoming HTTP request	{"request_id": "048f584a-6f02-4f8d-a861-9969bd9e03fd", "url": "/api/v1/users", "time": "2026-04-24T08:30:14.367872"}
2026-04-24T11:30:14.369164	DEBUG	middleware/common.go:87	<<< done HTTP request	{"request_id": "048f584a-6f02-4f8d-a861-9969bd9e03fd", "url": "/api/v1/users", "status_code": 200, "latency": "1.289846ms"}
2026-04-24T11:32:27.184731	WARN	server/server.go:63	shutdown HTTP server...
2026-04-24T11:32:27.185190	WARN	server/server.go:77	HTTP server stopped
